"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"tungsten band men",44,63,143,51748,"100","2","17",70
"rose gold tungsten",3,0,0,13322,"100","4","18","N/A"
"tungsten and gold",1,0,0,23270,"100","1","17","N/A"
"tungsten carbide rng",0,0,0,0,"","2","20","N/A"
"yellow gold tungsten",0,0,0,9553,"","2","20","N/A"
"tungsten blue band",0,0,0,10581,"","1","18","N/A"
"tungsten band mans",0,0,0,51748,"","1","18","N/A"
"tungsten band womens",0,0,0,43972,"","1","20","N/A"
"gray tungsten band",0,0,0,5380,"","1","18","N/A"
"black tungsten men",0,0,0,35207,"","1","18","N/A"
"black blue tungsten",0,0,0,7916,"","1","19","N/A"
"womens tungsten band",0,0,0,43973,"","1","20","N/A"
"tungsten rings 8mm",0,0,0,23623,"","1","18","N/A"
"mens wedding band",7638,7923,104,168743,"67","59","17",165000
"mens wedding bands",2543,2747,108,161890,"90","4","18",165000
"mens wedding rings",1376,1390,101,230365,"100","1","18",60500
"mens christmas gifts",202,200,99,1940771,"100","1","20","N/A"
"unique mens rings",56,69,123,70224,"100","1","17",3600
"cool mens rings",42,52,124,3550,"96","1","15",1300
"wedding band mens",8,1,13,136558,"100","11","17",165000
"mens black rings",10,5,50,81609,"100","1","16","N/A"
"mens weddding band",0,0,0,36,"","1","18","N/A"
"mens band black",0,0,0,89167,"","1","15","N/A"
"mens gold engagement",0,0,0,113235,"","1","20","N/A"
"rose gold mens ring",14,6,43,85160,"100","3","19",1900
"mens greek key ring",3,0,0,433,"100","1","19",210
"cz mens wedding band",0,0,0,3339,"","1","20","N/A"
"ring",34793,45796,132,2153449,"90","2","4",823000
"engagement ring",20093,21484,107,665588,"76","16","15",673000
"silver ring",10193,11684,115,943351,"98","1","11",33100
"gold ring",10080,10559,105,943926,"99","3","9",90500
"promise ring",7113,9159,129,255210,"78","12","12",301000
"wedding ring",5021,6132,122,766595,"100","21","12",246000
"alexandrite ring",4875,4639,95,20708,"31","1","16",22200
"birthstone ring",3814,3904,102,162976,"82","1","15",40500
"custom ring",2615,2574,98,195408,"94","3","11",12100
"turquoise ring",2592,2652,102,85295,"76","2","14",14800
"thumb ring",2578,2620,102,11725,"33","1","10",9900
"personalized ring",2346,2809,120,177238,"94","15","17",3600
"engraved ring",2308,2632,114,66303,"73","9","13",12100
"gemstone ring",2179,2309,106,449860,"100","2","13",9900
"statement ring",2136,2154,101,514795,"100","1","14",5400
"celtic ring",1736,1763,102,22130,"55","1","11",3600
"men ring",1731,1681,97,478834,"100","2","8",18100
"meteorite ring",1664,1976,119,7498,"33","4","14",12100
"dragon ring",1568,1897,121,12364,"45","1","11",2900
"minimalist ring",1529,1915,125,301307,"100","2","15",480
"womens ring",1455,1520,104,1071808,"100","5","11",22200
"anniversary ring",1049,1033,98,423738,"100","13","16",9900
"green ring",1058,1279,121,192425,"100","2","10",5400
"black ring",1014,1012,100,235461,"100","10","10",6600
"copper ring",1018,1235,121,40274,"80","1","11",4400
"nature ring",862,911,106,63822,"93","1","11",880
"wood ring",703,800,114,63459,"98","2","9",5400
"hammered ring",396,454,115,29445,"94","4","13",480
"purple ring",302,283,94,84218,"100","2","11",3600
"customized ring",217,225,104,191714,"100","1","15",12100
"greek ring",170,237,139,5846,"77","1","10",260
"wooden ring",137,192,140,23356,"100","1","11",5400
"antler ring",130,136,105,3798,"73","2","11",22200
"engravable ring",116,111,96,64642,"100","1","15",12100
"man ring",100,93,93,480544,"100","3","8",18100
"tree ring",101,93,92,31651,"100","1","9",74000
"simple ring",109,101,93,53557,"100","1","11",1900
"abalone ring",50,65,130,4519,"98","1","12",880
"male ring",22,17,77,7620,"100","3","9",74000
"brown ring",13,14,108,62396,"100","1","10","N/A"
"coffee ring",27,0,0,6854,"100","1","11","N/A"
"proposal ring",3,0,0,58246,"100","2","13",3600
"godzilla ring",2,0,0,78,"80","1","13","N/A"
"gojira ring",0,0,0,0,"","1","11","N/A"
"monster ring",1,0,0,1713,"100","1","12","N/A"
"brushed ring",1,0,0,21515,"100","1","12","N/A"
"braid ring",6,1,17,9927,"100","1","10",1300
"bentwood ring",0,0,0,1519,"","1","13","N/A"
"8mm ring",2,0,0,54235,"100","1","8","N/A"
"ring womens",3,0,0,1003873,"100","1","11",2400
"gunmetal ring",2,0,0,6054,"100","1","13","N/A"
"unisex ring",3,0,0,599335,"100","1","11",720
"azure ring",0,0,0,304,"","1","10","N/A"
"engrave ring",7,1,14,60597,"100","1","12",12100
"christmas ring",6,1,17,211224,"100","1","14","N/A"
"thanksgiving ring",1,0,0,16257,"100","1","17","N/A"
"marriage ring",2,0,0,10701,"100","1","13",6600
"husband ring",1,0,0,16600,"100","1","12","N/A"
"ironwood ring",2,0,0,286,"100","1","13","N/A"
"crossed ring",2,0,0,435,"100","1","12",9900
"moss agate ring",3668,4294,117,18901,"36","2","15",18100
"rose gold ring",2067,2206,107,432264,"100","8","14",12100
"silver ring men",1211,1526,126,256731,"100","1","15",2400
"two tone ring",1206,1109,92,20085,"61","2","13",2900
"whiskey barrel ring",915,897,98,3207,"27","3","19",1300
"men wedding ring",903,1083,120,227841,"100","3","16",14800
"black obsidian ring",873,665,76,2176,"20","2","19",1900
"black opal ring",833,911,109,12637,"59","1","15",6600
"ring for men",817,987,121,481152,"100","5","12",22200
"custom engraved ring",706,701,99,30456,"82","7","20",1300
"ring for women",578,640,111,1078332,"100","3","14",22200
"men silver ring",441,577,131,252971,"100","1","15","N/A"
"black gold ring",380,419,110,89136,"100","3","15","N/A"
"blue opal ring",304,436,143,15673,"86","1","14",1600
"womens wedding ring",290,283,98,544928,"100","2","19",22200
"wedding ring men",246,306,124,227575,"100","3","16",3600
"engagement ring men",218,250,115,202367,"100","1","19",40500
"men engagement ring",208,204,98,201501,"100","1","19",9900
"koa wood ring",184,144,78,3179,"62","2","13","N/A"
"male engagement ring",137,191,139,5784,"81","2","20",5400
"comfort fit ring",131,64,49,25614,"100","4","16",720
"yellow gold ring",110,94,85,567641,"100","2","16",4400
"blue sandstone ring",96,119,124,4560,"84","1","19","N/A"
"nature wedding ring",43,52,121,24433,"100","3","19",880
"black ring men",42,19,45,83847,"100","1","14",4400
"deer antler ring",33,24,73,2259,"92","2","16","N/A"
"unique wedding ring",31,31,100,161217,"100","6","19",14800
"matching ring set",21,20,95,23196,"100","3","17",320
"black hammered ring",14,1,7,5390,"100","3","19","N/A"
"simple silver ring",10,1,10,27526,"100","1","18",1000
"black wedding ring",8,1,13,103171,"100","8","18","N/A"
"engraved ring men",7,1,14,33404,"100","2","17",2900
"male wedding ring",9,1,11,6276,"100","2","17",4400
"celtic ring men",8,1,13,11032,"100","1","15",1000
"opal wedding ring",7,1,14,27490,"100","1","17","N/A"
"wood inlay ring",7,1,14,7771,"100","1","15",320
"wood wedding ring",8,1,13,26170,"100","1","17",3600
"dinosaur bone ring",8,1,13,1269,"100","1","18","N/A"
"wooden wedding ring",8,1,13,9517,"100","1","19",3600
"gold wedding ring",8,1,13,516935,"100","1","17",74000
"ring for boyfriend",3,0,0,13017,"100","5","18","N/A"
"ring for him",5,1,20,66292,"100","3","12","N/A"
"modern wedding ring",2,0,0,16707,"100","2","19","N/A"
"blue inlay ring",2,0,0,7820,"100","2","15","N/A"
"womens black ring",3,0,0,116544,"100","1","17",2400
"thin wedding ring",3,0,0,12948,"100","1","17","N/A"
"ring for girlfriend",5,1,20,35912,"100","1","19","N/A"
"unique blue ring",2,0,0,38060,"100","1","16",0
"womans wedding ring",3,0,0,517982,"100","1","19","N/A"
"black meteorite ring",3,0,0,3205,"100","1","20","N/A"
"green wedding ring",3,0,0,69316,"100","1","18","N/A"
"black blue ring",2,0,0,30827,"100","1","15","N/A"
"laser engraved ring",2,0,0,6308,"100","1","19",880
"matte black ring",4,0,0,2932,"100","1","16",90
"minimalist ring men",2,0,0,79642,"100","1","19","N/A"
"man wedding ring",4,0,0,213295,"100","1","16","N/A"
"man engagement ring",2,0,0,179630,"100","1","19","N/A"
"matte finish ring",2,0,0,2743,"100","1","17",70
"polished black ring",0,0,0,4378,"","2","19","N/A"
"mans engagement ring",0,0,0,178906,"","2","20","N/A"
"engagement ring 8mm",0,0,0,0,"","1","19","N/A"
"anniversary ring 6mm",0,0,0,0,"","1","20","N/A"
"gunmetal ring 8mm",0,0,0,0,"","1","17","N/A"
"black dome ring",1,0,0,9532,"100","1","15","N/A"
"black godzilla ring",0,0,0,0,"","1","19","N/A"
"engrave wedding ring",0,0,0,33943,"","1","20","N/A"
"eagle hawk ring",0,0,0,141,"","1","15","N/A"
"cute small ring",0,0,0,3908,"","1","15","N/A"
"pumpkin pattern ring",0,0,0,0,"","1","20","N/A"
"skinny 4mm ring",0,0,0,120,"","1","15","N/A"
"knot inlay ring",0,0,0,0,"","1","15","N/A"
"blue celtic ring",1,0,0,2344,"100","1","16","N/A"
"dragon knot ring",0,0,0,0,"","1","16","N/A"
"gray womans ring",0,0,0,20408,"","1","16","N/A"
"women gunmetal ring",0,0,0,0,"","1","19","N/A"
"tow tone ring",0,0,0,48,"","1","13","N/A"
"silver brushed ring",1,0,0,6918,"100","1","19","N/A"
"guys wedding ring",1,0,0,1818,"100","1","17","N/A"
"ring for valentine",0,0,0,82914,"","1","18","N/A"
"ring for husband",0,0,0,16556,"","1","16","N/A"
"celtic design ring",0,0,0,2712,"","1","18","N/A"
"gunmetal band ring",0,0,0,3985,"","1","18","N/A"
"unique gunmetal ring",0,0,0,0,"","1","20","N/A"
"gold inlay ring",1,0,0,7225,"100","1","15",70
"dome shape ring",0,0,0,1399,"","1","15","N/A"
"changing color ring",1,0,0,7103,"100","1","19",590
"green stones ring",0,0,0,60657,"","1","17","N/A"
"blue wedding ring",1,0,0,94855,"100","1","17","N/A"
"red opal ring",1,0,0,3600,"100","1","13",170
"outer space ring",0,0,0,1902,"","1","16","N/A"
"brushed finish ring",0,0,0,5135,"","1","19","N/A"
"blue line ring",1,0,0,1610,"100","1","14","N/A"
"brushed ring men",1,0,0,18202,"100","1","16","N/A"
"wedding ring blue",0,0,0,95117,"","1","17","N/A"
"8mm black ring",0,0,0,19721,"","1","14","N/A"
"flat black ring",1,0,0,2724,"100","1","15","N/A"
"unique design ring",0,0,0,25272,"","1","18","N/A"
"men brushed ring",0,0,0,18202,"","1","16","N/A"
"gray wedding ring",0,0,0,16427,"","1","17","N/A"
"promise ring him",0,0,0,14564,"","1","16","N/A"
"black eternity ring",1,0,0,6214,"100","1","19","N/A"
"8mm anniversary ring",0,0,0,0,"","1","20","N/A"
"his anniversary ring",0,0,0,8400,"","1","20","N/A"
"carbide metal ring",0,0,0,0,"","1","18","N/A"
"blue collar ring",0,0,0,0,"","1","16","N/A"
"valentine gift ring",0,0,0,70104,"","1","19","N/A"
"guys promise ring",0,0,0,974,"","1","17","N/A"
"couple marriage ring",0,0,0,0,"","1","20","N/A"
"ring for wife",0,0,0,49903,"","1","13","N/A"
"christmas gift ring",1,0,0,147145,"100","1","19","N/A"
"tree forest ring",0,0,0,3020,"","1","16","N/A"
"unique black ring",1,0,0,37186,"100","1","17","N/A"
"brushed black ring",0,0,0,7990,"","1","18","N/A"
"sky blue ring",1,0,0,5330,"100","1","13","N/A"
"green celtic ring",1,0,0,2303,"100","1","17",30
"valentine day ring",1,0,0,61802,"100","1","18","N/A"
"ring for anniversary",0,0,0,374505,"","1","20","N/A"
"november gift ring",0,0,0,4302,"","1","18","N/A"
"checkered flag ring",0,0,0,58,"","1","19","N/A"
"gray engraved ring",0,0,0,2278,"","1","18","N/A"
"man promise ring",1,0,0,67743,"100","1","16","N/A"
"flat brushed ring",0,0,0,1520,"","1","17","N/A"
"classic wedding ring",0,0,0,30719,"","1","20","N/A"
"ring for byfriend",0,0,0,0,"","1","17","N/A"
"promise ring for her",1603,1598,100,98076,"89","2","20",40500
"gold and silver ring",787,781,99,298066,"100","1","20",2900
"promise ring for him",341,405,119,15035,"82","10","20",880
"his and hers ring",201,193,96,14875,"93","1","17",1600
"black and gold ring",103,96,93,84099,"100","2","19",3600
"promise ring for men",97,86,89,63021,"100","2","20",40500
"gold and black ring",18,20,111,85192,"100","1","19","N/A"
"black ring for men",11,0,0,83848,"100","1","18","N/A"
"wedding ring for men",9,1,11,226851,"100","1","20",18100
"wedding ring for her",3,0,0,192625,"100","2","20",880
"black rose gold ring",2,0,0,42983,"100","1","20","N/A"
"elegant ring for men",1,0,0,11910,"100","1","20","N/A"
"ring for men women",0,0,0,357665,"","1","18","N/A"
"his her wedding ring",0,0,0,6859,"","1","20","N/A"
"womans ring in gold",0,0,0,0,"","1","19","N/A"
"thin blue line ring",0,0,0,634,"","1","19","N/A"
"brushed ring for men",0,0,0,18203,"","1","20","N/A"
"ring for him and her",0,0,0,25847,"","1","20","N/A"
"ring size 4 to 14",0,0,0,0,"","1","17","N/A"
"personalized gift",63547,67269,106,5573446,"97","1","17",110000
"jewelry",59975,70601,118,12852273,"100","2","7",450000
"rings",41716,48609,117,2155362,"86","7","5",823000
"wedding",28457,30685,108,5183896,"100","2","7",165000
"wedding gifts",26292,28477,108,2729660,"100","1","13",33100
"gift for him",23968,24233,101,2176606,"98","5","12",27100
"gifts for him",23158,26504,114,2175566,"99","1","13",27100
"personalized gifts",17099,17564,103,5572188,"100","3","18",110000
"dragon",16860,21803,129,602273,"78","1","6",550000
"engagement rings",16056,16859,105,671372,"81","5","16",673000
"engagement gifts",15810,16205,102,678387,"82","2","16",33100
"anniversary gift",15665,16034,102,1692772,"100","10","16",49500
"valentines day gift",15513,19105,123,976304,"90","1","19",5400
"gifts for mom",13785,14180,103,3487305,"100","1","13",110000
"birthday gift",13188,14327,109,6286682,"100","1","13",49500
"blue",11772,16973,144,9202427,"100","1","4",673000
"christmas gifts",10722,12559,117,7592884,"100","1","15",90500
"gold",10569,15213,144,6523620,"100","1","4",550000
"gifts for dad",9844,12231,124,1560627,"100","2","13",110000
"black",9725,14308,147,12353628,"100","1","5",1220000
"birthday gifts",9115,10060,110,6286807,"100","1","14",49500
"personalized jewelry",8856,9177,104,563297,"90","1","20",60500
"fathers day gift",7529,7755,103,948759,"100","8","16",1220000
"wedding band",6328,6508,103,360178,"88","34","12",110000
"gifts for boyfriend",6171,6672,108,371044,"89","1","19",33100
"christmas gift",6102,6792,111,7614738,"100","1","14",90500
"promise rings",5839,6696,115,253291,"82","1","13",301000
"anniversary gifts",5781,5882,102,1692762,"100","3","17",49500
"wedding bands",4942,5043,102,358234,"93","4","13",110000
"rings for men",4630,4838,104,475852,"100","8","13",22200
"boyfriend gift",4506,5164,115,371080,"96","1","14",9900
"gifts for sister",4054,4325,107,463293,"100","2","16",18100
"celtic",3500,4114,118,146333,"81","1","6",3350000
"wedding rings",3373,3416,101,762372,"100","4","13",246000
"valentine gift",3170,3362,106,1227386,"100","1","14","N/A"
"gold wedding band",2753,2922,106,242777,"97","3","17",49500
"brown",2622,3841,146,3940863,"100","1","5",246000
"wedding band men",1985,2068,104,162029,"96","6","16",6600
"men wedding band",1890,1908,101,168822,"98","4","16",27100
"wedding bands women",1788,1914,107,270666,"100","2","19",60500
"couples rings",1667,1708,102,47190,"73","2","13",12100
"womens wedding band",1553,1563,101,274941,"100","6","19",22200
"wedding band set",1528,1528,100,80178,"86","1","16",9900
"band",1488,1531,103,885924,"100","2","4",201000
"friendship rings",1333,1370,103,121592,"98","1","16",5400
"personalized rings",1297,1289,99,178115,"100","1","18",3600
"5th anniversary gift",1189,1162,98,16577,"57","1","20",5400
"eternity band",1223,1370,112,60850,"85","1","13",9900
"unique",1125,1294,115,4185432,"100","1","6",246000
"engraved rings",1183,1174,99,64804,"87","1","14",12100
"rustic wedding",1161,1119,96,221452,"100","1","14",2900
"men jewelry",1153,1443,125,1604751,"100","1","11",12100
"men rings",1173,1163,99,481244,"100","1","9",18100
"men gifts",1147,1195,104,8823156,"100","1","9",22200
"gift for husband",1119,1176,105,499074,"100","3","16",14800
"6mm",1034,1487,144,242504,"100","1","3",8100
"silver wedding band",908,842,93,160705,"100","2","19",5400
"engraving",780,642,82,477646,"100","2","9",27100
"anniversary rings",743,761,102,421349,"100","1","17",9900
"groom gift",688,710,103,176521,"100","2","10",1600
"his and hers rings",681,675,99,16108,"69","1","18",1600
"husband gift",598,547,91,498668,"100","1","12",2400
"male wedding band",518,567,109,5559,"52","7","17",165000
"unique wedding rings",498,492,99,151031,"100","1","20",14800
"8mm",479,520,109,308427,"100","1","3",22200
"unique wedding band",391,384,98,78979,"100","13","19",14800
"black wedding band",313,314,100,65317,"100","10","18",2900
"his and hers",344,403,117,56464,"100","1","12",673000
"for men",231,228,99,14481799,"100","4","7",14800
"bands",261,99,38,889211,"100","4","5",201000
"anniversary band",228,220,96,191362,"100","3","16",5400
"engagement band",194,187,96,315361,"100","1","15",2400
"women wedding band",222,217,98,277784,"100","1","18",22200
"custom wedding band",193,187,97,41541,"100","1","19","N/A"
"whiskey barrel",218,207,95,11559,"86","1","14",18100
"antler wedding band",128,189,148,2812,"67","2","19","N/A"
"fingerprint rings",108,100,93,1394,"56","1","17",2400
"godzilla jewelry",113,164,145,222,"15","1","16","N/A"
"godzilla gift",106,100,94,5535,"86","1","13","N/A"
"fashion jewelry",102,93,91,447241,"100","1","15",14800
"wedding band for men",88,117,133,164630,"100","2","20",49500
"mensweddingband",49,0,0,0,"","2","15","N/A"
"opal wedding band",51,64,125,13951,"100","1","17",6600
"gemstone band",48,65,135,103456,"100","1","13","N/A"
"band men",0,0,0,295473,"","3","8","N/A"
"6mm wedding band",4,0,0,16392,"100","2","16",880
"8mm wedding band",4,0,0,33085,"100","2","16",210
"carbide wedding band",0,0,0,17657,"","2","20","N/A"
"black wedding bands",8,1,13,62384,"100","2","19",8100
"wood wedding band",9,1,11,20295,"100","2","17",3600
"blue wedding band",5,1,20,40207,"100","2","17",1300
"comfort fit bands",0,0,0,18687,"","2","17","N/A"
"comfort fit band",2,0,0,23347,"100","2","16","N/A"
"rings for him",8,1,13,65711,"100","2","13","N/A"
"durable wedding band",0,0,0,2818,"","2","20","N/A"
"wedding engagement",4,0,0,932059,"100","1","18",390
"wedding rings men",10,1,10,204049,"100","1","17",3600
"handwriting rings",4,0,0,1859,"100","1","17","N/A"
"15th anniversary",9,1,11,3618,"100","1","16",1900
"kaiju wedding band",0,0,0,0,"","1","18","N/A"
"custom engrave gift",0,0,0,272624,"","1","19","N/A"
"fianc wedding band",0,0,0,0,"","1","18","N/A"
"male engagement band",3,0,0,5923,"100","1","20","N/A"
"black obsidian band",2,0,0,980,"100","1","19","N/A"
"rings for man",2,0,0,431310,"100","1","13",22200
"moderntungstenband",0,0,0,0,"","1","18","N/A"
"stylishmensjewelry",0,0,0,0,"","1","18","N/A"
"engagementringforhim",0,0,0,0,"","1","20","N/A"
"tungstenweddingring",0,0,0,0,"","1","19","N/A"
"customtungstenring",0,0,0,0,"","1","18","N/A"
"uniqueweddingring",0,0,0,0,"","1","17","N/A"
"outdoorweddingring",0,0,0,0,"","1","18","N/A"
"handmademensring",0,0,0,0,"","1","16","N/A"
"tungstenpromisering",0,0,0,0,"","1","19","N/A"
"etsyweddingband",0,0,0,0,"","1","15","N/A"
"gunmetal rings",1,0,0,5935,"100","1","14","N/A"
"chridtmas gift",0,0,0,41,"","1","14","N/A"
"black hammered band",1,0,0,4611,"100","1","19","N/A"
"opal wedding bands",5,1,20,13966,"100","1","18","N/A"
"opal wedding rings",0,0,0,26774,"","1","18","N/A"
"marble wedding band",1,0,0,195,"100","1","19","N/A"
"redflame jewelry",1,0,0,0,"","1","16","N/A"
"alexandrite wedding",0,0,0,19667,"","1","19","N/A"
"size 10",2,0,0,208510,"100","1","7","N/A"
"promise bands",3,0,0,108100,"100","1","13",390
"black band",2,0,0,158571,"100","1","10","N/A"
"8mm anniversary band",0,0,0,20227,"","1","20","N/A"
"2tone wedding band",1,0,0,0,"","1","18","N/A"
"blue inlay",0,0,0,19959,"","1","10","N/A"
"thin blue line",9,1,11,22749,"100","1","14",14800
"rhodochrosite inlay",0,0,0,0,"","1","19","N/A"
"gunmetal gray band",0,0,0,1657,"","1","18","N/A"
"husband anniversary",6,1,17,161876,"100","1","19",110
"cute wedding gift",2,0,0,66521,"100","1","17","N/A"
"men comfort fit band",0,0,0,0,"","1","20","N/A"
"promise rings men",3,0,0,63021,"100","1","17","N/A"
"gift for valentines",0,0,0,1353412,"","1","19","N/A"
"solid gold band",10,1,10,113941,"100","1","15",720
"blacktungstenring",0,0,0,0,"","1","17","N/A"
"uniquemensring",0,0,0,0,"","1","14","N/A"
"promiseringforhim",0,0,0,189,"","1","17","N/A"
"diagonalpatternring",0,0,0,0,"","1","19","N/A"
"blacktungstenband",5,5,100,0,"","1","17","N/A"
"twotonemensband",0,0,0,0,"","1","15","N/A"
"tungstenweddingband",0,0,0,0,"","1","19","N/A"
"guys wedding band",1,0,0,1557,"100","1","17","N/A"
"gunmetal rings 8mm",0,0,0,0,"","1","18","N/A"
"turquoise band",7,1,14,16402,"100","1","14","N/A"
"black silver",1,0,0,805305,"100","1","12","N/A"
"black meteorite band",1,0,0,3053,"100","1","20","N/A"
"polished edge 8mm",0,0,0,0,"","1","17","N/A"
"classic style",0,0,0,156039,"","1","13","N/A"
"gold and silver band",5,1,20,92292,"100","1","20",210
"iron wood",1,0,0,11790,"100","1","9","N/A"
"black womans",0,0,0,3745219,"","1","12","N/A"
"minimalistic rings",3,0,0,3901,"100","1","18","N/A"
"man wedding band",8,1,13,150102,"100","1","16","N/A"
"his promise band",0,0,0,7456,"","1","16","N/A"
"personalized style",0,0,0,144034,"","1","18","N/A"
"plain promise rings",0,0,0,0,"","1","19","N/A"
